Category	Ticker	Date	Open	Close	High	Low	AggrPercent
Health	UNH	2022-08-01	542.27002	535.380005	543.650024	531.0	-1.2706
Health	UNH	2022-08-02	537.549988	535.460022	540.530029	531.719971	-0.3888
Health	UNH	2022-08-03	537.26001	540.650024	543.619995	535.690002	0.631
Health	UNH	2022-08-04	539.289978	533.75	540.429993	532.76001	-1.0273
Health	UNH	2022-08-05	530.0	535.059998	535.5	527.559998	0.9547
Health	UNH	2022-08-06	534.95	535.83	538.4	530.49	0.1645
Health	UNH	2022-08-07	537.43	536.21	539.85	531.95	-0.227
Health	UNH	2022-08-08	539.909973	536.599976	541.299988	533.419983	-0.6131
Health	UNH	2022-08-09	540.0	537.26001	545.73999	536.380005	-0.5074
Health	UNH	2022-08-10	540.26001	537.719971	541.97998	533.809998	-0.4702
Health	UNH	2022-08-11	538.23999	532.859985	538.630005	529.669983	-0.9996
Health	UNH	2022-08-12	535.609985	543.700012	544.400024	534.450012	1.5104
Health	UNH	2022-08-13	538.64	544.17	545.81	536.51	1.0267
Health	UNH	2022-08-14	540.15	544.41	546.51	537.53	0.7887
Health	UNH	2022-08-15	541.669983	544.640015	547.210022	538.559998	0.5483
Health	UNH	2022-08-16	545.210022	546.119995	547.440002	542.390015	0.1669
Health	UNH	2022-08-17	545.23999	545.0	547.789978	541.570007	-0.044
Health	UNH	2022-08-18	545.01001	545.219971	548.130005	541.820007	0.0385
Health	UNH	2022-08-19	545.5	548.320007	553.130005	544.820007	0.517
Health	UNH	2022-08-20	543.45	546.45	551.33	543.08	0.552
Health	UNH	2022-08-21	542.42	545.51	550.43	542.21	0.5697
Health	UNH	2022-08-22	541.390015	544.570007	549.52002	541.349976	0.5874
Health	UNH	2022-08-23	543.289978	535.799988	543.289978	533.210022	-1.3786
Health	UNH	2022-08-24	536.679993	536.460022	539.859985	535.02002	-0.041
Health	UNH	2022-08-25	535.01001	541.570007	542.02002	531.25	1.2261
Health	UNH	2022-08-26	542.26001	529.25	543.190002	528.219971	-2.3992
Health	UNH	2022-08-27	534.13	529.51	538.05	525.54	-0.865
Health	UNH	2022-08-28	530.07	529.64	535.48	524.2	-0.0811
Health	UNH	2022-08-29	526.0	529.77002	532.900024	522.869995	0.7167
Health	UNH	2022-08-30	530.409973	522.840027	531.090027	521.789978	-1.4272
Health	UNH	2022-08-31	520.820007	519.330017	527.099976	519.159973	-0.2861
Health	UNH	2022-09-01	519.330017	524.0	524.26001	515.090027	0.8992
Health	UNH	2022-09-02	529.619995	516.349976	529.789978	513.809998	-2.5056
Health	UNH	2022-09-03	524.77	517.01	528.62	515.36	-1.4787
Health	UNH	2022-09-04	522.35	517.34	528.04	516.14	-0.9591
